Annual Income_ID,Annual Income_bins,utility,raw_utility,l2_norm,KLDiv,gpt_semantics
0,[0.0e+00 2.5e+05 1.0e+06 5.0e+06 2.0e+08],0.7999999999999999,-0.7999999999999999,1.0,1.0,4.0
1,[0.e+00 1.e+08 2.e+08],0.9999999999999999,0.9999999999999999,0.4630441314851787,0.8635878312703313,2.0
2,[0.00000000e+00 8.28170100e+07 1.65557393e+08],0.9999999999999999,0.9999999999999999,0.5122156772350185,0.8635073238474227,1.0
3,[0.00000000e+00 1.19870050e+06 1.65557393e+08],0.9999999999999999,-0.9999999999999999,0.535249179945323,0.964125496753978,1.0
6,[0.00000000e+00 1.27153700e+06 1.65557393e+08],0.9999999999999999,-0.9999999999999999,0.5352486830070171,0.9446884961816042,1.0
7,[0.00000000e+00 1.15652166e+06 1.65557393e+08],0.9999999999999999,-0.9999999999999999,0.5352494509181471,0.9730987527104566,1.0
8,[0.00000000e+00 1.13036700e+06 1.27693300e+06 1.65557393e+08],1.0,-1.0,0.5398621211015021,0.9249568932672776,1.0
9,[0.00000000e+00 6.66666667e+07 1.33333333e+08 2.00000000e+08],0.9999999999999999,0.9999999999999999,0.4328077582486573,0.8635878312703313,1.0
10,[0.00000000e+00 5.52368823e+07 1.65557393e+08],0.9999999999999999,0.9999999999999999,0.5248974245943945,0.8635073238474227,1.0
11,[0.00000000e+00 9.65611670e+05 1.48500200e+06 1.65557393e+08],1.0,-1.0,0.5398624862869202,0.8624936568615724,1.0
12,[0.00000000e+00 5.52368823e+07 1.10397138e+08 1.65557393e+08],0.9999999999999999,0.9999999999999999,0.4901204862782222,0.8635073238474227,1.0
14,[0.00000000e+00 9.45639500e+05 1.27153700e+06 1.65557393e+08],1.0,-1.0,0.539863149709452,0.917806078764734,1.0
15,[0.00000000e+00 1.14958152e+06 3.04930952e+06 1.65557393e+08],1.0,-1.0,0.5398475812809296,0.6756076233544936,1.0
16,"[0.00000000e+00 7.43242000e+05 9.52992500e+05 1.28640450e+06
 1.65557393e+08]",1.0,-1.0,0.937842599589214,0.9001475968567503,1.0
17,[0.0e+00 5.0e+07 1.0e+08 1.5e+08 2.0e+08],0.9999999999999999,0.9999999999999999,0.6726052927037698,0.8635878312703313,1.0
18,[0.00000000e+00 4.14468185e+07 1.65557393e+08],0.9999999999999999,0.9999999999999999,0.5294118642767106,0.8635073238474227,1.0
19,"[0.00000000e+00 8.61640500e+05 1.19870050e+06 1.67477400e+06
 1.65557393e+08]",1.0,-1.0,0.9379090624974248,0.7907150740101974,1.0
20,"[0.00000000e+00 4.14468185e+07 8.28170100e+07 1.24187202e+08
 1.65557393e+08]",0.9999999999999999,0.9999999999999999,0.723320688474418,0.8635073238474227,1.0
22,"[0.00000000e+00 9.45639500e+05 1.27153700e+06 1.98085450e+06
 1.65557393e+08]",1.0,-1.0,0.9379556788339836,0.7176927161096991,1.0
23,"[0.00000000e+00 1.01583036e+06 2.21052065e+06 6.10280742e+06
 1.65557393e+08]",1.0,-1.0,0.938122037134894,0.7162559921762228,1.0
24,"[0.00000000e+00 7.06486500e+05 9.53168250e+05 1.27723700e+06
 1.79336250e+06 1.65557393e+08]",0.9999999999999999,-0.9999999999999999,0.5366219620938666,0.74315374164226,1.0
25,[0.0e+00 4.0e+07 8.0e+07 1.2e+08 1.6e+08 2.0e+08],0.9999999999999999,0.9999999999999999,0.5509553785826826,0.8635878312703313,1.0
26,[0.00000000e+00 3.31727802e+07 6.62689334e+07 1.65557393e+08],0.5,0.5,0.5215390688045197,0.8635832322819704,1.0
27,"[0.00000000e+00 7.91437400e+05 1.05577300e+06 1.35498120e+06
 1.82217600e+06 1.65557393e+08]",0.9999999999999999,-0.9999999999999999,0.5366633230117007,0.7346196588023652,1.0
28,"[0.00000000e+00 3.31727802e+07 6.62689334e+07 9.93650866e+07
 1.32461240e+08 1.65557393e+08]",0.5,0.5,0.6142952541971108,0.8635832322819704,1.0
30,"[0.00000000e+00 9.45639500e+05 1.27140400e+06 1.27153700e+06
 1.98085450e+06 1.65557393e+08]",0.7,-0.7,0.5368786957033194,0.7176927161096991,1.0
31,"[0.00000000e+00 9.16767720e+05 1.79461704e+06 3.50448672e+06
 1.05379097e+07 1.65557393e+08]",0.9999999999999999,-0.9999999999999999,0.5485876487756016,0.594042484941913,1.0
32,"[0.00000000e+00 3.25099500e+05 9.40465800e+05 1.22524920e+06
 1.36771120e+06 1.95302330e+06 1.65557393e+08]",0.6571428571428573,-0.6571428571428573,0.5360217868841832,0.6945849700207573,1.0
33,"[0.00000000e+00 3.33333333e+07 6.66666667e+07 1.00000000e+08
 1.33333333e+08 1.66666667e+08 2.00000000e+08]",0.5,0.5,0.4718752553805547,0.863663739704879,1.0
34,[0.00000000e+00 2.76567547e+07 5.52368823e+07 1.65557393e+08],1.0,1.0,0.5271256268914692,0.8637136451529741,1.0
35,"[0.00000000e+00 7.54072000e+05 9.65611670e+05 1.19870050e+06
 1.48500200e+06 1.92637833e+06 1.65557393e+08]",1.0,-1.0,0.5361821965443532,0.6900658161491164,1.0
36,"[0.00000000e+00 2.76567547e+07 5.52368823e+07 8.28170100e+07
 1.10397138e+08 1.37977265e+08 1.65557393e+08]",1.0,1.0,0.5453355840197528,0.8637136451529741,1.0
38,"[0.00000000e+00 7.74934000e+05 9.45639500e+05 1.27140400e+06
 1.27153700e+06 1.98085450e+06 1.65557393e+08]",0.6571428571428573,-0.6571428571428573,0.5358891365833569,0.7041834521525812,1.0
39,"[0.00000000e+00 8.58339500e+05 1.59018027e+06 2.72970806e+06
 5.51513828e+06 1.57574929e+07 1.65557393e+08]",0.6571428571428573,-0.6571428571428573,0.5408836561320719,0.5995777764228072,1.0
40,"[0.00000000e+00 2.46952500e+05 8.38514330e+05 9.60180830e+05
 1.27265800e+06 1.44411717e+06 1.96365317e+06 1.65557393e+08]",0.7857142857142859,-0.7857142857142859,0.5358761769518043,0.6864921663339769,1.0
41,"[0.00000000e+00 2.85714286e+07 5.71428571e+07 8.57142857e+07
 1.14285714e+08 1.42857143e+08 1.71428571e+08 2.00000000e+08]",1.0,1.0,0.4114647087977784,0.863730645229325,1.0
42,[0.00000000e+00 2.37167364e+07 4.73568459e+07 1.65557393e+08],1.0,1.0,0.5305177666348437,0.8638346051677122,1.0
43,"[0.00000000e+00 7.19739000e+05 9.15235430e+05 1.10605786e+06
 1.31404000e+06 1.58173100e+06 2.03897143e+06 1.65557393e+08]",1.0,-1.0,0.5359340312060064,0.6516703652353983,1.0
44,"[0.00000000e+00 2.37167364e+07 4.73568459e+07 7.09969553e+07
 9.46370647e+07 1.18277174e+08 1.41917284e+08 1.65557393e+08]",1.0,1.0,0.4935221535605112,0.8638346051677122,1.0
46,"[0.00000000e+00 7.74934000e+05 9.45639500e+05 1.27140400e+06
 1.27153700e+06 1.36775300e+06 1.98085450e+06 1.65557393e+08]",0.7857142857142859,-0.7857142857142859,0.5358826495548639,0.688489687060881,1.0
47,"[0.00000000e+00 7.91453120e+05 1.39547787e+06 2.21028587e+06
 3.65005898e+06 6.83677964e+06 1.72242917e+07 1.65557393e+08]",0.642857142857143,-0.642857142857143,0.5379958516450517,0.524267339249813,1.0
48,"[0.00000000e+00 2.78948500e+05 7.78337710e+05 9.45718210e+05
 1.16772100e+06 1.28574629e+06 1.45303179e+06 1.96919257e+06
 1.65557393e+08]",0.8571428571428572,-0.8571428571428572,0.5357251540745567,0.6695933578237511,1.0
49,"[0.00e+00 2.50e+07 5.00e+07 7.50e+07 1.00e+08 1.25e+08 1.50e+08 1.75e+08
 2.00e+08]",1.0,1.0,0.3614888897706153,0.8637941525758827,1.0
50,[0.00000000e+00 2.07617228e+07 4.14468185e+07 1.65557393e+08],1.0,1.0,0.5327270383304705,0.8638906458594267,1.0
51,"[0.00000000e+00 6.86398750e+05 8.61640500e+05 1.02503812e+06
 1.19870050e+06 1.40191500e+06 1.67477400e+06 2.12762000e+06
 1.65557393e+08]",1.0,-1.0,0.5357637746796373,0.6181907235161385,1.0
52,"[0.00000000e+00 2.07617228e+07 4.14468185e+07 6.21319142e+07
 8.28170100e+07 1.03502106e+08 1.24187202e+08 1.44872297e+08
 1.65557393e+08]",1.0,1.0,0.451160134757856,0.8638906458594267,1.0
54,"[0.00000000e+00 7.74934000e+05 9.45639500e+05 1.27140400e+06
 1.27153700e+06 1.36775300e+06 1.98026550e+06 1.98085450e+06
 1.65557393e+08]",0.4285714285714286,-0.4285714285714286,0.535869051778353,0.688489687060881,1.0
55,"[0.00000000e+00 7.40758200e+05 1.23113095e+06 1.78049487e+06
 2.56663960e+06 3.95296541e+06 7.07135561e+06 1.72242917e+07
 1.65557393e+08]",0.6190476190476191,-0.6190476190476191,0.5364380732034308,0.4687324345074795,1.0
56,"[0.00000000e+00 7.88595000e+04 7.70230310e+05 8.86335750e+05
 9.59774310e+05 1.25915850e+06 1.36560362e+06 1.73691825e+06
 1.98023106e+06 1.65557393e+08]",1.0,-1.0,0.5354271390511293,0.6586362464412803,1.0
57,"[0.00000000e+00 2.22222222e+07 4.44444444e+07 6.66666667e+07
 8.88888889e+07 1.11111111e+08 1.33333333e+08 1.55555556e+08
 1.77777778e+08 2.00000000e+08]",1.0,1.0,0.3181431059437243,0.8639711532823353,1.0
58,[0.00000000e+00 1.84633788e+07 3.68501306e+07 1.65557393e+08],1.0,1.0,0.5342439601647292,0.8640596105475054,1.0
59,"[0.00000000e+00 6.68268000e+05 8.28326110e+05 9.65611670e+05
 1.12506600e+06 1.28600444e+06 1.48500200e+06 1.74505500e+06
 2.23394400e+06 1.65557393e+08]",0.9833333333333333,-0.9833333333333333,0.5356516361568331,0.5879708069900905,1.0
60,"[0.00000000e+00 1.84633788e+07 3.68501306e+07 5.52368823e+07
 7.36236341e+07 9.20103859e+07 1.10397138e+08 1.28783889e+08
 1.47170641e+08 1.65557393e+08]",1.0,1.0,0.4147358484662499,0.8640596105475054,1.0
62,"[0.00000000e+00 7.74934000e+05 9.45639500e+05 1.27140400e+06
 1.27153700e+06 1.36775300e+06 1.36943450e+06 1.98026550e+06
 1.98085450e+06 1.65557393e+08]",0.43333333333333335,-0.43333333333333335,0.5358625490714156,0.688489687060881,1.0
63,"[0.00000000e+00 7.40082100e+05 1.22821529e+06 1.77353406e+06
 2.54115647e+06 3.83176157e+06 6.54951902e+06 1.35206963e+07
 2.69213443e+07 1.65557393e+08]",0.38333333333333336,-0.38333333333333336,0.5343149435881872,0.4641692966280949,1.0
64,"[0.00000000e+00 7.88595000e+04 6.55872610e+05 7.99735330e+05
 9.39030670e+05 1.00497967e+06 1.27692350e+06 1.37056817e+06
 1.75280911e+06 1.98091783e+06 1.65557393e+08]",0.9878787878787878,-0.9878787878787878,0.5353919079165103,0.6460905546340806,1.0
65,"[0.0e+00 2.0e+07 4.0e+07 6.0e+07 8.0e+07 1.0e+08 1.2e+08 1.4e+08 1.6e+08
 1.8e+08 2.0e+08]",1.0,1.0,0.2793766406154575,0.8639711532823353,1.0
66,"[0.00000000e+00 1.66247036e+07 3.31727802e+07 4.97208568e+07
 1.65557393e+08]",0.19999999999999998,0.19999999999999998,0.8797901661838342,0.8644034210076836,1.0
67,"[0.00000000e+00 6.53463200e+05 7.91437400e+05 9.33179300e+05
 1.05577300e+06 1.19870050e+06 1.35498120e+06 1.54610410e+06
 1.82217600e+06 2.29938000e+06 1.65557393e+08]",0.9878787878787878,-0.9878787878787878,0.5355469557184712,0.5631421917262476,1.0
68,"[0.00000000e+00 1.66247036e+07 3.31727802e+07 4.97208568e+07
 6.62689334e+07 8.28170100e+07 9.93650866e+07 1.15913163e+08
 1.32461240e+08 1.49009316e+08 1.65557393e+08]",0.19999999999999998,0.19999999999999998,0.3823710378272753,0.8644034210076836,1.0
70,"[0.00000000e+00 7.74934000e+05 9.45639500e+05 1.27140400e+06
 1.27153700e+06 1.32848950e+06 1.36775300e+06 1.36943450e+06
 1.98026550e+06 1.98085450e+06 1.65557393e+08]",0.4545454545454545,-0.4545454545454545,0.5358564294860237,0.6849916392061774,1.0
71,"[0.00000000e+00 6.64378640e+05 1.06304740e+06 1.50162715e+06
 2.06299053e+06 2.89484418e+06 4.36715326e+06 7.37934807e+06
 1.40965167e+07 2.69213443e+07 1.65557393e+08]",0.43030303030303024,-0.43030303030303024,0.5335172840986522,0.4388144823518504,1.0
74,"[0.00000000e+00 1.51203330e+07 3.01640390e+07 4.52077450e+07
 1.65557393e+08]",0.7999999999999999,0.7999999999999999,0.8883246335687928,0.8644703245626462,1.0
82,"[0.00000000e+00 1.38666908e+07 2.76567547e+07 4.14468185e+07
 1.65557393e+08]",0.7999999999999999,0.7999999999999999,0.8952239888066355,0.8649328817184074,1.0
90,"[0.00000000e+00 1.28059167e+07 2.55352064e+07 3.82644961e+07
 1.65557393e+08]",0.7999999999999999,0.7999999999999999,0.9008787672774824,0.8652712032652798,1.0
98,"[0.00000000e+00 1.18966817e+07 2.37167364e+07 3.55367911e+07
 4.73568459e+07 1.65557393e+08]",0.3,0.3,0.5897336098295167,0.8655029511966578,1.0
106,"[0.00000000e+00 1.11086781e+07 2.21407291e+07 3.31727802e+07
 4.42048313e+07 1.65557393e+08]",0.3,0.3,0.5868154366970233,0.8659330197125077,1.0
114,"[0.00000000e+00 1.04191749e+07 2.07617228e+07 3.11042706e+07
 4.14468185e+07 1.65557393e+08]",0.3,0.3,0.5841605400932939,0.8661590245256724,1.0
122,"[0.00000000e+00 9.81078971e+06 1.95449524e+07 2.92791151e+07
 3.90132778e+07 1.65557393e+08]",0.8999999999999998,0.8999999999999998,0.581740823875016,0.8663863447176254,1.0
130,"[0.00000000e+00 9.27000289e+06 1.84633788e+07 2.76567547e+07
 3.68501306e+07 1.65557393e+08]",0.8999999999999998,0.8999999999999998,0.5795302911953297,0.8669077845206269,1.0
138,"[0.00000000e+00 8.78614100e+06 1.74956550e+07 2.62051690e+07
 3.49146830e+07 4.36241970e+07 1.65557393e+08]",0.2571428571428572,0.2571428571428572,0.5703175522551363,0.8673095992070269,1.0
146,"[0.00000000e+00 8.35066530e+06 1.66247036e+07 2.48987419e+07
 3.31727802e+07 4.14468185e+07 1.65557393e+08]",0.2,0.2,0.5691804003302627,0.8678782061268285,1.0
154,"[0.00000000e+00 7.74171790e+05 9.51838590e+05 1.27121794e+06
 1.28994558e+06 1.39584705e+06 1.92520436e+06 2.32723547e+06
 1.65557393e+08]",0.9761904761904763,-0.9761904761904763,0.5358897235975759,0.5911945728000632,1.0
