Fare_ID,Fare_bins,utility,raw_utility,l2_norm,KLDiv,gpt_semantics
0,[  0.  10.  20.  30.  40.  50. 100. 600.],0.6785714285714287,0.6785714285714287,1.0,1.0,4.0
1,[  0. 300. 600.],0.9999999999999999,0.9999999999999999,0.4508084356004883,0.1475924551281823,1.0
2,[  0.   256.17 513.  ],0.9999999999999999,0.9999999999999999,0.4927460016391388,0.6564589349407979,1.0
3,[  0.    15.74 513.  ],0.9999999999999999,0.9999999999999999,0.5159092284546674,0.007085572277357,1.0
4,[  0.  52. 513.],0.9999999999999999,0.9999999999999999,0.5152318187283125,0.4250579628119794,1.0
5,[  0.   256.16 512.33],0.9999999999999999,0.9999999999999999,0.4929931522319293,0.6564589349407979,1.0
6,[  0.    15.74 512.33],0.9999999999999999,0.9999999999999999,0.5161681353136318,0.007085572277357,1.0
7,[  0.    52.28 513.  ],0.9999999999999999,0.9999999999999999,0.5152226863302443,0.4250579628119794,1.0
8,[  0.    25.42 513.  ],0.9999999999999999,0.9999999999999999,0.5158290844723754,0.0972268807490885,1.0
9,[  0.     9.29  33.29 513.  ],1.0,1.0,0.5200450000074429,0.3760121793557043,1.0
10,[  0. 200. 400. 600.],1.0,1.0,0.4225402908948448,0.6169084374896203,1.0
11,[  0.   170.78 341.55 513.  ],1.0,1.0,0.4715185829700618,0.6278560421845159,1.0
12,[  0.    10.46  26.55 513.  ],1.0,1.0,0.520097910481949,0.2335738472408279,1.0
13,[  0.    10.52  52.   513.  ],1.0,1.0,0.5197104873973565,0.5093223661940642,1.0
14,[  0.   170.78 341.55 512.33],1.0,1.0,0.4717509164440487,0.6278560421845159,1.0
15,[  0.    10.46  26.55 512.33],1.0,1.0,0.5203537742972861,0.2335738472408279,1.0
16,[  0.    10.48  52.28 513.  ],1.0,1.0,0.5197034712294579,0.5093223661940642,1.0
17,[  0.    16.38  85.57 513.  ],1.0,1.0,0.5184033429759661,0.7663005365146676,1.0
18,[  0.     7.91  11.75  48.2  513.  ],1.0,1.0,0.5243830969504317,0.5448677578846308,1.0
19,[  0. 150. 300. 450. 600.],1.0,1.0,0.3965344946778283,0.6352310596574917,1.0
20,[  0.   128.08 256.17 384.25 513.  ],0.7999999999999999,0.7999999999999999,0.4522126530990021,0.9124876448782068,1.0
21,[  0.     8.05  15.74  33.38 513.  ],1.0,1.0,0.5245307336960454,0.4175907506660724,1.0
22,[  0.    10.52  52.    73.5  513.  ],1.0,1.0,0.52338256740492,0.6963930766173521,1.0
23,[  0.   128.08 256.16 384.25 512.33],0.7999999999999999,0.7999999999999999,0.4524322155579742,0.9124876448782068,1.0
24,[  0.     8.05  15.74  33.38 512.33],1.0,1.0,0.5247836314528116,0.4175907506660724,1.0
25,[  0.    10.48  39.64  52.28 513.  ],0.7999999999999999,0.7999999999999999,0.5241923294078765,0.5313688961183545,1.0
26,[  0.    15.77  76.4  205.71 513.  ],1.0,1.0,0.5111415328229167,0.8770529941907415,1.0
27,[  0.     7.13  12.72  27.78  52.02 513.  ],0.8999999999999998,0.8999999999999998,0.5292117966663372,0.6188549938212873,1.0
28,[  0. 120. 240. 360. 480. 600.],0.7999999999999999,0.7999999999999999,0.3734166974207739,0.8807632852104291,2.0
29,[  0.   102.47 204.93 307.4  513.  ],0.9486832980505139,0.9486832980505139,0.4789989743816665,0.8075818998863298,1.0
30,[  0.     7.91  13.    26.    46.9  513.  ],0.8999999999999998,0.8999999999999998,0.5292494787084105,0.5656937037564751,1.0
31,[  0.    10.52  52.    71.28  73.5  513.  ],0.39999999999999997,0.39999999999999997,0.527748228436108,0.6932249782061992,1.0
32,[  0.   102.47 204.93 307.4  409.86 512.33],0.9486832980505139,0.9486832980505139,0.4355739446027482,0.8075818998863298,1.0
33,[  0.     7.91  13.    26.    46.9  512.33],0.8999999999999998,0.8999999999999998,0.5294995088292979,0.5656937037564751,1.0
34,[  0.    10.48  38.75  39.64  52.28 513.  ],0.49999999999999994,0.49999999999999994,0.529056800730072,0.5360356219755291,1.0
35,[  0.    15.63  66.99 131.18 239.99 513.  ],0.8999999999999998,0.8999999999999998,0.508616965312719,0.6585510830087609,1.0
36,[  0.     7.13  11.32  20.55  30.85  50.99 513.  ],0.8285714285714287,0.8285714285714287,0.5513784538287572,0.6185595312118161,1.0
37,[  0. 100. 200. 300. 400. 500. 600.],0.9486832980505139,0.9486832980505139,0.3673946147401876,0.7981223077908379,2.0
38,[  0.    85.39 170.78 256.17 341.55 513.  ],0.6,0.6,0.465016961156844,0.9708771002610052,1.0
39,[  0.     7.89  10.46  15.74  26.55  55.9  513.  ],0.8857142857142858,0.8857142857142858,0.5512699560718144,0.6799453053852662,1.0
40,[  0.    10.52  31.    52.    71.28  73.5  513.  ],0.3714285714285715,0.3714285714285715,0.550585357236123,0.7278313983521552,1.0
41,[  0.    85.39 170.78 256.16 341.55 426.94 512.33],0.6,0.6,0.4347835015704151,0.9708771002610052,1.0
42,[  0.     7.89  10.46  15.74  26.55  55.9  512.33],0.8857142857142858,0.8857142857142858,0.55150390822056,0.6799453053852662,1.0
43,[  0.    10.48  38.75  39.64  48.3   52.28 513.  ],0.3714285714285715,0.3714285714285715,0.5512680863793123,0.5412465515268388,1.0
44,[  0.    10.    29.48  69.98 131.18 239.99 513.  ],0.942857142857143,0.942857142857143,0.5324081498818259,0.5968144331494325,1.0
45,[  0.     2.01  10.82  15.46  25.07  37.5   59.45 513.  ],0.9642857142857145,0.9642857142857145,0.9385729789660844,0.7520849031055143,1.0
46,[  0.    85.71 171.43 257.14 342.86 428.57 514.29 600.  ],0.6,0.6,0.5703286513622108,0.9745458987063288,1.0
47,[  0.    73.19 146.38 219.57 292.76 513.  ],0.9999999999999999,0.9999999999999999,0.4832994641076233,0.9407172874566712,1.0
48,[  0.     7.8    8.66  13.    21.08  30.    65.   513.  ],0.9642857142857145,0.9642857142857145,0.9385034552351964,0.7779434677953319,1.0
49,[  0.    10.52  29.7   31.    52.    71.28  73.5  513.  ],0.3571428571428572,0.3571428571428572,0.941703207633552,0.7404626771856222,1.0
50,[  0.    73.19 146.38 219.57 292.76 365.95 439.14 512.33],0.9999999999999999,0.9999999999999999,0.6397396755983269,0.9407172874566712,1.0
51,[  0.     7.8    8.66  13.    21.08  30.    65.   512.33],0.9642857142857145,0.9642857142857145,0.9381433480984755,0.7779434677953319,1.0
52,[  0.    10.48  27.82  38.75  39.64  48.3   52.28 513.  ],0.28571428571428575,0.28571428571428575,0.9384635372230068,0.573590306912653,1.0
53,[  0.     9.9   28.02  53.87  80.36 131.18 239.99 513.  ],0.8214285714285715,0.8214285714285715,0.8831357173495931,0.5303469208408182,1.0
54,[  0.     2.01   9.49  12.5   16.4   27.36  39.34  62.37 513.  ],0.8333333333333335,0.8333333333333335,0.5402676942273879,0.7809391699271613,1.0
55,[  0.  75. 150. 225. 300. 375. 450. 525. 600.],0.7,0.7,0.4773382016540362,0.954370184146638,1.0
56,[  0.    64.04 128.08 192.12 256.17 320.21 513.  ],0.6571428571428573,0.6571428571428573,0.4880782031010162,0.94589147328577,1.0
57,[  0.     7.78   8.05  11.24  15.74  26.    33.38  73.5  513.  ],0.9285714285714287,0.9285714285714287,0.5448143103233083,0.8248463036304989,1.0
58,[  0.    10.52  29.    29.7   31.    52.    71.28  73.5  513.  ],0.4285714285714286,0.4285714285714286,0.5469483124998122,0.7404626771856222,1.0
59,[  0.    64.04 128.08 192.12 256.16 320.21 384.25 448.29 512.33],0.6571428571428573,0.6571428571428573,0.5530329489383954,0.94589147328577,1.0
60,[  0.     7.78   8.05  11.24  15.74  26.    33.38  73.5  512.33],0.9285714285714287,0.9285714285714287,0.5451008374389579,0.8248463036304989,1.0
61,[  0.    10.48  18.38  27.82  38.75  39.64  48.3   52.28 513.  ],0.3571428571428572,0.3571428571428572,0.5367705847264195,0.6034063026933913,1.0
62,[  0.     9.9   28.02  53.87  80.36 113.08 147.02 239.99 513.  ],0.7619047619047621,0.7619047619047621,0.6099684331076516,0.474859510117028,1.0
63,[  0.     2.01   9.49  12.41  15.49  21.55  30.6   48.2   70.15 513.  ],0.8333333333333333,0.8333333333333333,0.5313501140627416,0.8397220185423679,1.0
64,[  0.    66.67 133.33 200.   266.67 333.33 400.   466.67 533.33 600.  ],0.8999999999999998,0.8999999999999998,0.4065656759182022,0.9281049978253066,1.0
65,[  0.    56.92 113.85 170.78 227.7  284.63 513.  ],0.6571428571428573,0.6571428571428573,0.5029265865448234,0.9955708967284412,1.0
66,[  0.     7.75   7.92  10.46  13.    20.52  26.55  39.51  77.96 513.  ],0.8833333333333333,0.8833333333333333,0.5266656948940398,0.8886399439427635,1.0
67,[  0.    10.52  28.71  29.    29.7   31.    52.    71.28  73.5  513.  ],0.3666666666666667,0.3666666666666667,0.5429495507195972,0.7501563399011639,1.0
68,[  0.    56.93 113.85 170.78 227.7  284.63 341.55 398.48 455.4  512.33],0.6571428571428573,0.6571428571428573,0.4885417180438758,0.9955708967284412,1.0
69,[  0.     7.75   7.92  10.46  13.    20.52  26.55  39.51  77.96 512.33],0.8833333333333333,0.8833333333333333,0.5269412787827609,0.8886399439427635,1.0
70,[  0.    10.48  18.38  19.86  27.82  38.75  39.64  48.3   52.28 513.  ],0.15,0.15,0.5333701654733856,0.6114989162968807,1.0
71,[  0.     9.9   28.02  53.87  80.36 113.08 147.02 218.3  258.97 513.  ],0.8333333333333333,0.8333333333333333,0.5714516289923601,0.3892521229329548,1.0
72,"[  0.     2.01   8.42  12.29  15.68  22.2   29.99  38.9   56.66  79.6
 513.  ]",0.9151515151515152,0.9151515151515152,0.5253036023546231,0.9895642768348656,1.0
73,[  0.  60. 120. 180. 240. 300. 360. 420. 480. 540. 600.],0.6571428571428573,0.6571428571428573,0.3484979076754109,0.9885091869277356,2.0
74,[  0.    51.23 102.47 153.7  204.93 256.17 307.4  513.  ],0.5585812268712466,0.5585812268712466,0.7662652321011285,0.8448705613484744,1.0
75,"[  0.     7.75   7.91   9.2   13.    15.74  26.    29.12  46.9   79.52
 513.  ]",0.8909090909090909,0.8909090909090909,0.5208411289564644,0.9482115003697592,1.0
76,"[  0.    10.52  27.75  28.71  29.    29.7   31.    52.    71.28  73.5
 513.  ]",0.43161293601284584,0.43161293601284584,0.5313374332870121,0.7595513941888989,1.0
77,"[  0.    51.23 102.47 153.7  204.93 256.16 307.4  358.63 409.86 461.1
 512.33]",0.5585812268712466,0.5585812268712466,0.4363758398867382,0.8448705613484744,1.0
78,"[  0.     7.75   7.91   9.2   13.    15.74  26.    29.12  46.9   79.52
 512.33]",0.8909090909090909,0.8909090909090909,0.521113317878412,0.9482115003697592,1.0
79,"[  0.    10.48  18.38  19.86  27.82  29.85  38.75  39.64  48.3   52.28
 513.  ]",0.1580554413568168,0.1580554413568168,0.5283806272655807,0.6206794876924003,1.0
80,"[  0.     8.08  15.53  29.6   54.62  80.36 113.08 147.02 218.3  258.97
 513.  ]",0.8787878787878788,0.8787878787878788,0.5292808149081563,0.3518354110444687,1.0
83,[  0.    46.58  93.15 139.73 186.3  232.88 279.45 513.  ],0.6071428571428572,0.6071428571428572,0.7926937497813545,0.957295811153346,1.0
92,[  0.    42.69  85.39 128.08 170.78 213.47 256.17 298.86 513.  ],0.6107893935757621,0.6107893935757621,0.5929382691359596,0.9150925756120116,1.0
101,[  0.    39.41  78.82 118.23 157.64 197.05 236.46 275.87 513.  ],0.7065994945288228,0.7065994945288228,0.5941551511636323,0.8715655584155905,1.0
110,[  0.    36.6   73.19 109.78 146.38 182.98 219.57 256.17 292.76 513.  ],0.65,0.65,0.5558497837048022,0.8624151834628634,1.0
119,[  0.    34.16  68.31 102.47 136.62 170.78 239.09 273.24 513.  ],0.6904761904761906,0.6904761904761906,0.6002957577521844,0.931565053496473,1.0
128,"[  0.    32.02  64.04  96.06 128.08 160.1  192.12 224.14 256.17 288.18
 513.  ]",0.6829395253173965,0.6829395253173965,0.5277303715683621,0.8016100061537776,1.0
137,[  0.    30.14  60.27  90.41 120.55 150.68 180.82 241.1  271.23 513.  ],0.6861984751796929,0.6861984751796929,0.567052185326106,0.8760246125635243,1.0
146,"[  0.    28.46  56.92  85.39 113.85 142.31 170.78 227.7  256.17 284.63
 513.  ]",0.5531940447488588,0.5531940447488588,0.5342375795627519,0.8235184409087242,1.0
172,[  0.     7.1    9.84  26.96  52.21  82.89 513.  ],0.942857142857143,0.942857142857143,0.5509163899051199,0.9366078296132996,1.0
