song_duration_ms_ID,danceability_ID,loudness_ID,tempo_ID,song_duration_ms_bins,danceability_bins,loudness_bins,tempo_bins,utility,l2_norm,KLDiv,gpt_semantics,Estimated,Explored
0,0,0,0,[      0.   90000.  180000.  300000.  600000. 1800000.],[0.  0.3 0.5 0.7 0.9 1. ],[-60. -20. -10.  -5.   0.  10.],[  0.  60.  90. 120. 150. 250.],0.2795327847093177,1.0,1.0,4.0,1,1
0,0,0,31,[      0.   90000.  180000.  300000.  600000. 1800000.],[0.  0.3 0.5 0.7 0.9 1. ],[-60. -20. -10.  -5.   0.  10.],[  0.    82.35 101.94 124.31 146.61 243.  ],0.2800637111760021,0.9970750925138592,0.9866533055997472,3.25,1,1
0,0,29,0,[      0.   90000.  180000.  300000.  600000. 1800000.],[0.  0.3 0.5 0.7 0.9 1. ],[-60.    -9.78  -7.4   -5.89  -4.58   1.58],[  0.  60.  90. 120. 150. 250.],0.2885585346429519,0.9552660954202906,0.9590495008715172,3.25,1,1
0,0,29,47,[      0.   90000.  180000.  300000.  600000. 1800000.],[0.  0.3 0.5 0.7 0.9 1. ],[-60.    -9.78  -7.4   -5.89  -4.58   1.58],[  0.    78.39  95.32 109.61 125.22 142.72 163.87 243.  ],0.2938677993097956,0.9210780415271724,0.9174813146591116,2.5,1,1
0,26,0,0,[      0.   90000.  180000.  300000.  600000. 1800000.],[0.   0.2  0.4  0.59 0.79 1.  ],[-60. -20. -10.  -5.   0.  10.],[  0.  60.  90. 120. 150. 250.],0.2805946376426865,0.9851045134407992,0.9621108451600456,3.25,1,1
0,26,0,31,[      0.   90000.  180000.  300000.  600000. 1800000.],[0.   0.2  0.4  0.59 0.79 1.  ],[-60. -20. -10.  -5.   0.  10.],[  0.    82.35 101.94 124.31 146.61 243.  ],0.2811255641093708,0.9821796059546584,0.9487641507597926,2.5,1,1
0,27,29,0,[      0.   90000.  180000.  300000.  600000. 1800000.],[0.   0.5  0.6  0.68 0.77 1.  ],[-60.    -9.78  -7.4   -5.89  -4.58   1.58],[  0.  60.  90. 120. 150. 250.],0.2909477037430316,0.9369295327294817,0.8682156533496763,2.5,1,1
0,30,0,0,[      0.   90000.  180000.  300000.  600000. 1800000.],[0.   0.2  0.26 0.49 0.73 1.  ],[-60. -20. -10.  -5.   0.  10.],[  0.  60.  90. 120. 150. 250.],0.2861693655428723,0.9739022025793984,0.9861581380680604,3.25,1,1
0,30,0,31,[      0.   90000.  180000.  300000.  600000. 1800000.],[0.   0.2  0.26 0.49 0.73 1.  ],[-60. -20. -10.  -5.   0.  10.],[  0.    82.35 101.94 124.31 146.61 243.  ],0.2867002920095566,0.9709772950932576,0.9728114436678076,2.5,1,1
0,30,39,0,[      0.   90000.  180000.  300000.  600000. 1800000.],[0.   0.2  0.26 0.49 0.73 1.  ],[-60.   -24.45 -15.53 -11.37  -8.34  -5.95   2.  ],[  0.  60.  90. 120. 150. 250.],0.2941332625431377,0.9097413738501564,0.9302881974996126,2.5,1,1
0,30,39,27,[      0.   90000.  180000.  300000.  600000. 1800000.],[0.   0.2  0.26 0.49 0.73 1.  ],[-60.   -24.45 -15.53 -11.37  -8.34  -5.95   2.  ],[  0.    95.01 111.05 126.06 144.94 243.  ],0.2978497478099283,0.90514531006607,0.915607663514916,1.75,1,1
0,30,39,31,[      0.   90000.  180000.  300000.  600000. 1800000.],[0.   0.2  0.26 0.49 0.73 1.  ],[-60.   -24.45 -15.53 -11.37  -8.34  -5.95   2.  ],[  0.    82.35 101.94 124.31 146.61 243.  ],0.2946641890098221,0.9068164663640156,0.9169415030993596,1.75,1,1
0,31,0,0,[      0.   90000.  180000.  300000.  600000. 1800000.],[0.   0.32 0.48 0.6  0.72 1.  ],[-60. -20. -10.  -5.   0.  10.],[  0.  60.  90. 120. 150. 250.],0.2803291744093443,0.9854691989415608,0.9384387351046206,3.25,1,1
0,31,0,31,[      0.   90000.  180000.  300000.  600000. 1800000.],[0.   0.32 0.48 0.6  0.72 1.  ],[-60. -20. -10.  -5.   0.  10.],[  0.    82.35 101.94 124.31 146.61 243.  ],0.2808601008760287,0.98254429145542,0.9250920407043676,2.5,1,1
27,30,39,27,[      0.   177337.   200796.6  221511.6  253165.  1799346. ],[0.   0.2  0.26 0.49 0.73 1.  ],[-60.   -24.45 -15.53 -11.37  -8.34  -5.95   2.  ],[  0.    95.01 111.05 126.06 144.94 243.  ],0.298911600743297,0.8867165793012608,0.8664271441640226,1.0,1,1
30,0,29,0,[      0.   114349.   172926.5  218875.5  328333.  1799346. ],[0.  0.3 0.5 0.7 0.9 1. ],[-60.    -9.78  -7.4   -5.89  -4.58   1.58],[  0.  60.  90. 120. 150. 250.],0.2898858508096628,0.9409631584693818,0.91580472057591,2.5,1,1
30,0,29,47,[      0.   114349.   172926.5  218875.5  328333.  1799346. ],[0.  0.3 0.5 0.7 0.9 1. ],[-60.    -9.78  -7.4   -5.89  -4.58   1.58],[  0.    78.39  95.32 109.61 125.22 142.72 163.87 243.  ],0.2951951154765065,0.9067751045762636,0.8742365343635045,1.75,1,1
30,27,29,0,[      0.   114349.   172926.5  218875.5  328333.  1799346. ],[0.   0.5  0.6  0.68 0.77 1.  ],[-60.    -9.78  -7.4   -5.89  -4.58   1.58],[  0.  60.  90. 120. 150. 250.],0.2922750199097425,0.9226265957785728,0.8249708730540695,1.75,1,1
39,30,39,27,"[      0.    145476.36  194348.84  235313.81  294558.89  421551.57
 1799346.  ]",[0.   0.2  0.26 0.49 0.73 1.  ],[-60.   -24.45 -15.53 -11.37  -8.34  -5.95   2.  ],[  0.    95.01 111.05 126.06 144.94 243.  ],0.2991770639766392,0.7901411095845021,0.8404171775602907,1.0,1,1
67,30,39,27,"[      0.   159242.   177337.   190348.   200796.6  211306.   221511.6
  234954.2  253165.   282742.4 1799346. ]",[0.   0.2  0.26 0.49 0.73 1.  ],[-60.   -24.45 -15.53 -11.37  -8.34  -5.95   2.  ],[  0.    95.01 111.05 126.06 144.94 243.  ],0.2997079904433236,0.7801720299642324,0.8122574412755756,1.0,1,1
